LocationID	Location	ParentLocationID	Latitude	Longitude
BFN16_Layer_28	BFN16_Layer_28	BFN16_Layers	0.000000	0.000000
BFN16_Layer_29	BFN16_Layer_29	BFN16_Layers	0.000000	0.000000
BFN16_Layer_3	BFN16_Layer_3	BFN16_Layers	0.000000	0.000000
BFN16_Layer_30	BFN16_Layer_30	BFN16_Layers	0.000000	0.000000
BFN16_Layer_4	BFN16_Layer_4	BFN16_Layers	0.000000	0.000000
BFN16_Layer_5	BFN16_Layer_5	BFN16_Layers	0.000000	0.000000
BFN16_Layer_6	BFN16_Layer_6	BFN16_Layers	0.000000	0.000000
BFN16_Layer_7	BFN16_Layer_7	BFN16_Layers	0.000000	0.000000
BFN16_Layer_8	BFN16_Layer_8	BFN16_Layers	0.000000	0.000000
BFN16_Layer_9	BFN16_Layer_9	BFN16_Layers	0.000000	0.000000
BFN16_Layers	BFN16 D3D profiles	BFN16_Layers	34.707210	-87.127842
BFN17_10ft	BFN17_10ft	BFN 17 (DS, Left)	34.703691	-87.130883
BFN17_20ft	BFN17_20ft	BFN 17 (DS, Left)	34.703691	-87.130883
BFN17_3ft	BFN17_3ft	BFN 17 (DS, Left)	34.703691	-87.130883
BFN17_5ft	BFN17_5ft	BFN 17 (DS, Left)	34.703691	-87.130883
BFN17_7ft	BFN17_7ft	BFN 17 (DS, Left)	34.703691	-87.130883
BFN17_Layer_1	BFN17_Layer_1	BFN17_Layers	0.000000	0.000000
BFN17_Layer_10	BFN17_Layer_10	BFN17_Layers	0.000000	0.000000
BFN17_Layer_11	BFN17_Layer_11	BFN17_Layers	0.000000	0.000000
BFN17_Layer_12	BFN17_Layer_12	BFN17_Layers	0.000000	0.000000
BFN17_Layer_13	BFN17_Layer_13	BFN17_Layers	0.000000	0.000000
BFN17_Layer_14	BFN17_Layer_14	BFN17_Layers	0.000000	0.000000
BFN17_Layer_15	BFN17_Layer_15	BFN17_Layers	0.000000	0.000000
BFN17_Layer_16	BFN17_Layer_16	BFN17_Layers	0.000000	0.000000
BFN17_Layer_17	BFN17_Layer_17	BFN17_Layers	0.000000	0.000000
BFN17_Layer_18	BFN17_Layer_18	BFN17_Layers	0.000000	0.000000
BFN17_Layer_19	BFN17_Layer_19	BFN17_Layers	0.000000	0.000000
BFN17_Layer_2	BFN17_Layer_2	BFN17_Layers	0.000000	0.000000
BFN17_Layer_20	BFN17_Layer_20	BFN17_Layers	0.000000	0.000000
BFN17_Layer_21	BFN17_Layer_21	BFN17_Layers	0.000000	0.000000
BFN17_Layer_22	BFN17_Layer_22	BFN17_Layers	0.000000	0.000000
BFN17_Layer_23	BFN17_Layer_23	BFN17_Layers	0.000000	0.000000
BFN17_Layer_24	BFN17_Layer_24	BFN17_Layers	0.000000	0.000000
BFN17_Layer_25	BFN17_Layer_25	BFN17_Layers	0.000000	0.000000
BFN17_Layer_26	BFN17_Layer_26	BFN17_Layers	0.000000	0.000000
BFN17_Layer_27	BFN17_Layer_27	BFN17_Layers	0.000000	0.000000
BFN17_Layer_28	BFN17_Layer_28	BFN17_Layers	0.000000	0.000000
BFN17_Layer_29	BFN17_Layer_29	BFN17_Layers	0.000000	0.000000
BFN17_Layer_3	BFN17_Layer_3	BFN17_Layers	0.000000	0.000000
BFN17_Layer_30	BFN17_Layer_30	BFN17_Layers	0.000000	0.000000
BFN17_Layer_4	BFN17_Layer_4	BFN17_Layers	0.000000	0.000000
BFN17_Layer_5	BFN17_Layer_5	BFN17_Layers	0.000000	0.000000
